event_id,path,size_kb,tx_delay_ms,proc_delay_ms,total_delay_ms,cost_usd,energy_j,latency_need,peak_hour
0,edge,4.556,0.096,4.556,4.652,0.00022802,0.000112,low,False
1,edge,7.696,0.145,7.696,7.841,0.00038517,0.000189,low,False
2,rc,1.36,0.553,0.68,1.233,0.00013609,3.3e-05,high,True
3,cloud,4.173,10.652,0.695,11.347,0.0016693,0.000102,high,False
4,cloud,3.384,10.529,0.564,11.093,0.00135364,8.3e-05,high,False
5,cloud,4.577,10.715,0.763,11.478,0.001831,0.000112,high,False
6,cloud,4.929,10.77,0.821,11.592,0.00197181,0.000121,high,False
7,cloud,3.575,10.559,0.596,11.154,0.00143018,8.8e-05,medium,False
8,edge,5.534,0.111,5.534,5.646,0.00027698,0.000136,low,False
9,edge,3.018,0.072,3.018,3.09,0.00015104,7.4e-05,low,True
10,rc,6.134,0.74,3.067,3.807,0.00061373,0.00015,high,True
11,cloud,5.764,10.901,0.961,11.861,0.00230588,0.000141,high,False
12,rc,8.331,0.825,4.166,4.991,0.00083354,0.000204,medium,True
13,cloud,3.774,10.59,0.629,11.219,0.00150968,9.3e-05,high,False
14,rc,3.947,0.654,1.974,2.628,0.00039494,9.7e-05,medium,True
15,edge,6.003,0.119,6.003,6.122,0.00030045,0.000147,low,True
16,cloud,6.137,10.959,1.023,11.982,0.00245521,0.000151,medium,False
17,rc,3.847,0.65,1.924,2.574,0.00038493,9.4e-05,medium,True
18,edge,5.012,0.103,5.012,5.116,0.00025086,0.000123,low,True
19,cloud,4.851,10.758,0.809,11.567,0.00194084,0.000119,medium,False
20,rc,6.319,0.747,3.16,3.907,0.00063224,0.000155,high,True
21,edge,4.754,0.099,4.754,4.854,0.00023795,0.000117,low,False
22,edge,4.441,0.094,4.441,4.535,0.00022226,0.000109,low,True
23,cloud,6.293,10.983,1.049,12.032,0.00251747,0.000154,high,False
24,rc,6.796,0.765,3.398,4.163,0.0006799,0.000167,high,True
25,cloud,5.351,10.836,0.892,11.728,0.00214077,0.000131,medium,False
26,rc,3.694,0.644,1.847,2.491,0.00036958,9.1e-05,medium,True
27,edge,5.045,0.104,5.045,5.149,0.0002525,0.000124,low,True
28,cloud,4.785,10.748,0.797,11.545,0.00191421,0.000117,high,False
29,edge,6.532,0.127,6.532,6.66,0.00032694,0.00016,low,False
30,edge,6.986,0.134,6.986,7.121,0.00034966,0.000171,low,False
31,rc,5.28,0.706,2.64,3.346,0.00052828,0.00013,high,True
32,edge,5.576,0.112,5.576,5.688,0.00027906,0.000137,low,False
33,edge,3.708,0.083,3.708,3.791,0.00018556,9.1e-05,low,False
34,edge,5.213,0.106,5.213,5.319,0.00026089,0.000128,low,False
35,cloud,6.14,10.959,1.023,11.983,0.0024565,0.000151,medium,False
36,edge,3.956,0.087,3.956,4.043,0.00019799,9.7e-05,low,False
37,edge,1.89,0.055,1.89,1.945,9.46e-05,4.6e-05,low,False
38,cloud,4.729,10.739,0.788,11.527,0.00189198,0.000116,medium,False
39,cloud,5.251,10.82,0.875,11.696,0.00210078,0.000129,medium,False
40,edge,4.542,0.096,4.542,4.638,0.00022733,0.000111,low,True
41,edge,1.773,0.053,1.773,1.826,8.875e-05,4.3e-05,low,False
42,rc,6.611,0.758,3.306,4.064,0.00066145,0.000162,high,True
43,rc,7.847,0.807,3.923,4.73,0.00078505,0.000192,medium,True
44,cloud,3.461,10.541,0.577,11.118,0.00138467,8.5e-05,high,False
45,edge,4.653,0.098,4.653,4.751,0.00023288,0.000114,low,False
46,cloud,3.467,10.542,0.578,11.119,0.00138691,8.5e-05,medium,False
47,cloud,6.417,11.003,1.07,12.072,0.00256732,0.000157,high,False
48,rc,6.719,0.762,3.36,4.122,0.00067227,0.000165,medium,True
49,edge,3.997,0.087,3.997,4.085,0.00020007,9.8e-05,low,True
50,cloud,1.322,10.207,0.22,10.427,0.00052886,3.2e-05,high,False
51,cloud,5.671,10.886,0.945,11.831,0.00226876,0.000139,medium,False
52,edge,3.512,0.08,3.512,3.592,0.00017576,8.6e-05,low,True
53,cloud,4.818,10.753,0.803,11.556,0.00192755,0.000118,high,False
54,edge,2.53,0.065,2.53,2.595,0.00012664,6.2e-05,low,True
55,cloud,5.362,10.838,0.894,11.731,0.0021451,0.000132,medium,False
56,edge,5.664,0.113,5.664,5.777,0.00028346,0.000139,low,False
57,rc,6.342,0.748,3.171,3.919,0.00063448,0.000156,medium,True
58,cloud,5.548,10.867,0.925,11.792,0.00221948,0.000136,high,False
59,cloud,3.982,10.622,0.664,11.286,0.00159322,9.8e-05,medium,False
60,rc,6.697,0.762,3.349,4.11,0.00067006,0.000164,medium,True
61,edge,5.723,0.114,5.723,5.837,0.00028643,0.00014,low,False
62,edge,5.291,0.108,5.291,5.399,0.00026483,0.00013,low,False
63,cloud,4.094,10.64,0.682,11.322,0.00163767,0.0001,high,False
64,cloud,6.066,10.948,1.011,11.959,0.00242679,0.000149,medium,False
65,cloud,5.064,10.791,0.844,11.635,0.00202588,0.000124,high,False
66,cloud,3.825,10.598,0.638,11.235,0.00153032,9.4e-05,high,False
67,cloud,4.208,10.658,0.701,11.359,0.00168358,0.000103,high,False
68,edge,5.316,0.108,5.316,5.424,0.00026607,0.00013,low,True
69,edge,8.733,0.161,8.733,8.894,0.00043705,0.000214,low,True
70,rc,4.369,0.671,2.185,2.855,0.00043716,0.000107,medium,True
71,rc,5.127,0.7,2.564,3.264,0.000513,0.000126,medium,True
72,cloud,5.914,10.924,0.986,11.91,0.00236603,0.000145,medium,False
73,cloud,7.577,11.184,1.263,12.447,0.00303136,0.000186,high,False
74,rc,6.034,0.736,3.017,3.753,0.00060372,0.000148,high,True
75,cloud,6.88,11.075,1.147,12.222,0.00275256,0.000169,medium,False
76,rc,5.906,0.731,2.953,3.684,0.00059088,0.000145,medium,True
77,edge,4.384,0.093,4.384,4.477,0.0002194,0.000108,low,False
78,rc,5.234,0.704,2.617,3.321,0.00052361,0.000128,high,True
79,edge,5.668,0.114,5.668,5.781,0.00028366,0.000139,low,True
80,cloud,6.894,11.077,1.149,12.226,0.00275819,0.000169,high,False
